H1,H2,H3,TESTIMONY1r1,TESTIMONY1r2,TESTIMONY2r1,TESTIMONY2r2,TESTIMONY3r1,TESTIMONY3r2,TESTIMONY4r1,TESTIMONY4r2,TASK1r1,TASK1r2,TASK2r1,TASK2r2,TASK3r1,TASK3r2,TASK4r1,TASK4r2,TASK5r1,TASK5r2,TASK6r1,TASK6r2,TASK7r1,TASK7r2,OVERVIEW1r1,OVERVIEW1r2,OVERVIEW2r1,OVERVIEW2r2
Advantages of Onboarding,To Ecosystem/Project,communication faciltate collaboration and productivity,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,Mentors/Mentee feedback,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Advantages of Onboarding,To Ecosystem/Project,knowledge sharing (mentor-mentee),0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,onboarding organization community vs Company?,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,grow expertise within community,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
Advantages of Onboarding,To Ecosystem/Project,promotes networking within ecosystem,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Advantages of Onboarding,To Ecosystem/Project,Mentee-mentee collaboration towards productivity,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,mentoring helps achieve long and short term goals,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,socio-technical interactions,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Ecosystem/Project,activities that groom new contributors to be productive,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Advantages of Onboarding,To Individual,align project selection with personal interests,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,communication faciltate collaboration and productivity,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,growth of contributor techncial skills,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,Self motivation and commitment overcomes barriers/frustrations,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,low entry barrier,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,mentor past onboarding experience,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,Mentors/Mentee feedback,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,mentors-mentees collaborating towards productivity,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,mentees-mentees collaborating towards productivity,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,onboarding nuturing new contributors to grow in the ecosystem with confident,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
Advantages of Onboarding,To Individual,Impostor Syndrome effects,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,make first accepted contribution in ecosystem release.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,mentoring helps achieve long and short term goals,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,important to feel included and comfortable in project,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,mentors assist participants,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,Transfer Skill sets,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,mentees-mentees collaborating towards productivity,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,grow expertise within community,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,Build a network within your project team,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,Q/A session,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Individual,promotes networking within ecosystem,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Advantages of Onboarding,To Company,Mentoring brings value to stakeholders and ROI,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Company,mentor past onboarding experience,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Company,mentee-mentee collaborating towards productivity,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Advantages of Onboarding,To Company,mentoring helps achieve long and short term goals,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Ecosystem/project,Different participants background,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1
Challenges of Onboarding,To Ecosystem/project,Self motivation and commitment overcomes barriers/frustrations,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Ecosystem/project,Impostor Syndrome effects,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Ecosystem/project,investment of time,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Ecosystem/project,Key to a successful mentoring program,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Ecosystem/project,successful mentoring requires commitment,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Individuals,Self motivation and commitment overcomes barriers/frustrations,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Individuals,possibility of insufficient mentors,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Individuals,difficulty aligning project with personal interests,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Individuals,new contributors learning style influences mentoring outcome,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Individuals,Investment of time,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Individuals,language barriers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Challenges of Onboarding,To Individuals,onboarding adapts to diverse learning methods,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Individuals,successful mentoring requires commitment,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Company,investment of time,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Company,Working Environment and configuration to facilitate contributions,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Challenges of Onboarding,To Company,Onboarding organization community vs Company?,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
